Feature type	Feature name
Cytoplasm	Cytoplasm_Intensity_MeanIntensity_ER
Cytoplasm	Cytoplasm_Intensity_MeanIntensity_Mito
Cytoplasm	Cytoplasm_Intensity_MeanIntensity_RNA
Cytoplasm	Cytoplasm_Intensity_MedianIntensity_AGP
Cytoplasm	Cytoplasm_Intensity_MedianIntensity_DNA
Cytoplasm	Cytoplasm_Intensity_MedianIntensity_ER
Cytoplasm	Cytoplasm_Intensity_MedianIntensity_Mito
Cytoplasm	Cytoplasm_Intensity_MedianIntensity_RNA
Cytoplasm	Cytoplasm_Intensity_MinIntensityEdge_AGP
Cytoplasm	Cytoplasm_Intensity_MinIntensityEdge_DNA
Cytoplasm	Cytoplasm_Intensity_MinIntensityEdge_ER
Cytoplasm	Cytoplasm_Intensity_MinIntensityEdge_Mito
Cytoplasm	Cytoplasm_Intensity_MinIntensityEdge_RNA
Cytoplasm	Cytoplasm_Intensity_MinIntensity_AGP
Cytoplasm	Cytoplasm_Intensity_MinIntensity_DNA
Cytoplasm	Cytoplasm_Intensity_MinIntensity_ER
Cytoplasm	Cytoplasm_Intensity_MinIntensity_Mito
Cytoplasm	Cytoplasm_Intensity_MinIntensity_RNA
Cytoplasm	Cytoplasm_Intensity_StdIntensityEdge_AGP
Cytoplasm	Cytoplasm_Intensity_StdIntensityEdge_DNA
Cytoplasm	Cytoplasm_Intensity_StdIntensityEdge_ER
Cytoplasm	Cytoplasm_Intensity_StdIntensityEdge_Mito
Cytoplasm	Cytoplasm_Intensity_StdIntensityEdge_RNA
Cytoplasm	Cytoplasm_Intensity_StdIntensity_AGP
Cytoplasm	Cytoplasm_Intensity_StdIntensity_DNA
Cytoplasm	Cytoplasm_Intensity_StdIntensity_ER
Cytoplasm	Cytoplasm_Intensity_StdIntensity_Mito
Cytoplasm	Cytoplasm_Intensity_StdIntensity_RNA
Cytoplasm	Cytoplasm_Intensity_UpperQuartileIntensity_AGP
Cytoplasm	Cytoplasm_Intensity_UpperQuartileIntensity_DNA
Cytoplasm	Cytoplasm_Intensity_UpperQuartileIntensity_ER
Cytoplasm	Cytoplasm_Intensity_UpperQuartileIntensity_Mito
Cytoplasm	Cytoplasm_Intensity_UpperQuartileIntensity_RNA
Cytoplasm	Cytoplasm_Location_CenterMassIntensity_X_AGP
Cytoplasm	Cytoplasm_Location_CenterMassIntensity_X_DNA
Cytoplasm	Cytoplasm_Location_CenterMassIntensity_X_ER
Cytoplasm	Cytoplasm_Location_CenterMassIntensity_X_Mito
Cytoplasm	Cytoplasm_Location_CenterMassIntensity_X_RNA
Cytoplasm	Cytoplasm_Location_CenterMassIntensity_Y_AGP
Cytoplasm	Cytoplasm_Location_CenterMassIntensity_Y_DNA
Cytoplasm	Cytoplasm_Location_CenterMassIntensity_Y_ER
Cytoplasm	Cytoplasm_Location_CenterMassIntensity_Y_Mito
Cytoplasm	Cytoplasm_Location_CenterMassIntensity_Y_RNA
Cytoplasm	Cytoplasm_Location_Center_X
Cytoplasm	Cytoplasm_Location_Center_Y
Cytoplasm	Cytoplasm_Location_MaxIntensity_X_AGP
Cytoplasm	Cytoplasm_Location_MaxIntensity_X_DNA
Cytoplasm	Cytoplasm_Location_MaxIntensity_X_ER
Cytoplasm	Cytoplasm_Location_MaxIntensity_X_Mito
Cytoplasm	Cytoplasm_Location_MaxIntensity_X_RNA
Cytoplasm	Cytoplasm_Location_MaxIntensity_Y_AGP
Cytoplasm	Cytoplasm_Location_MaxIntensity_Y_DNA
Cytoplasm	Cytoplasm_Location_MaxIntensity_Y_ER
Cytoplasm	Cytoplasm_Location_MaxIntensity_Y_Mito
Cytoplasm	Cytoplasm_Location_MaxIntensity_Y_RNA
Cytoplasm	Cytoplasm_Number_Object_Number
Cytoplasm	Cytoplasm_RadialDistribution_FracAtD_AGP_1of4
Cytoplasm	Cytoplasm_RadialDistribution_FracAtD_AGP_2of4
