,FeatureNames,Saliency
1267,Cytoplasm.Cytoplasm_RadialDistribution_RadialCV_RNA_1of4,0.0008288697
674,Nuclei.Nuclei_AreaShape_Zernike_1_1,0.0008276123
1140,Cells.Cells_Granularity_1_Brightfield,0.00082721695
208,Cells.Cells_Neighbors_FirstClosestDistance_Adjacent,0.00082105986
700,Nuclei.Nuclei_Intensity_StdIntensity_Brightfield,0.00082087604
1159,Cells.Cells_Correlation_K_RNA_AGP,0.00082086626
131,Cells.Cells_Intensity_MassDisplacement_Brightfield,0.000819905
424,Nuclei.Nuclei_AreaShape_Zernike_4_0,0.000818558
198,Nuclei.Nuclei_Correlation_RWC_DNA_AGP,0.0008164427
310,Nuclei.Nuclei_RadialDistribution_MeanFrac_DNA_2of4,0.00080896745
896,Cells.Cells_Correlation_RWC_DNA_ER,0.00080703787
897,Cells.Cells_Correlation_RWC_ER_AGP,0.0008029232
788,Cytoplasm.Cytoplasm_Intensity_StdIntensityEdge_DNA,0.0008016615
1271,Nuclei.Nuclei_Granularity_8_Mito,0.00080135243
878,Cells.Cells_Granularity_3_Brightfield,0.00079991325
478,Nuclei.Nuclei_Granularity_5_Brightfield,0.0007958914
1199,Nuclei.Nuclei_RadialDistribution_FracAtD_RNA_2of4,0.00079172314
692,Cells.Cells_Intensity_MaxIntensity_RNA,0.0007879122
224,Cytoplasm.Cytoplasm_Intensity_StdIntensityEdge_ER,0.00078624574
286,Cytoplasm.Cytoplasm_RadialDistribution_RadialCV_RNA_2of4,0.000783767
586,Cells.Cells_RadialDistribution_RadialCV_DNA_1of4,0.000781065
94,Nuclei.Nuclei_AreaShape_Zernike_6_4,0.00078041194
722,Cells.Cells_Granularity_6_ER,0.0007787114
854,Nuclei.Nuclei_Granularity_7_AGP,0.00077665923
985,Cells.Cells_Neighbors_SecondClosestDistance_Adjacent,0.00077484525
82,Cytoplasm.Cytoplasm_Intensity_MinIntensity_RNA,0.0007734236
88,Cytoplasm.Cytoplasm_Granularity_7_AGP,0.000765624
23,Cytoplasm.Cytoplasm_RadialDistribution_FracAtD_ER_2of4,0.0007646396
745,Cytoplasm.Cytoplasm_Intensity_MinIntensity_ER,0.00076341163
206,Cytoplasm.Cytoplasm_Granularity_2_AGP,0.0007607121
1300,Nuclei.Nuclei_Granularity_11_DNA,0.0007589131
804,Cytoplasm.Cytoplasm_RadialDistribution_MeanFrac_AGP_3of4,0.0007584309
957,Nuclei.Nuclei_Correlation_RWC_RNA_AGP,0.0007563346
27,Cytoplasm.Cytoplasm_Intensity_MassDisplacement_ER,0.00075597875
333,Cytoplasm.Cytoplasm_Correlation_K_DNA_AGP,0.00075441424
1065,Cytoplasm.Cytoplasm_AreaShape_Zernike_6_0,0.0007515966
343,Cytoplasm.Cytoplasm_Intensity_MaxIntensity_RNA,0.0007464509
1156,Nuclei.Nuclei_Intensity_StdIntensity_AGP,0.00074439246
1024,Nuclei.Nuclei_Correlation_Manders_ER_DNA,0.0007408585
832,Cells.Cells_Granularity_9_Brightfield,0.0007388447
147,Nuclei.Nuclei_Granularity_13_ER,0.00073849445
790,Cytoplasm.Cytoplasm_Granularity_7_ER,0.00073634146
941,Cells.Cells_AreaShape_Zernike_7_5,0.00073566166
256,Nuclei.Nuclei_Granularity_5_AGP,0.00073420076
456,Cytoplasm.Cytoplasm_Intensity_MADIntensity_Mito,0.000724212
1180,Cytoplasm.Cytoplasm_Correlation_RWC_RNA_Mito,0.00072412397
373,Nuclei.Nuclei_Correlation_RWC_AGP_RNA,0.00072040193
255,Nuclei.Nuclei_Correlation_K_RNA_DNA,0.0007180621
925,Cells.Cells_AreaShape_Zernike_4_4,0.0007178367
754,Nuclei.Nuclei_AreaShape_Zernike_8_8,0.00071590487
204,Cells.Cells_RadialDistribution_RadialCV_RNA_1of4,0.0007151199
974,Nuclei.Nuclei_Correlation_RWC_ER_DNA,0.00071313605
727,Nuclei.Nuclei_AreaShape_Zernike_9_9,0.0007112773
1247,Cytoplasm.Cytoplasm_Correlation_Manders_ER_RNA,0.0007099019
17,Cytoplasm.Cytoplasm_Intensity_MADIntensity_RNA,0.000700206
717,Cytoplasm.Cytoplasm_Granularity_8_Brightfield,0.00069975585
